iter	Passed	Remaining
0	47	47695
1	48	24140
2	49	16313
3	49	12415
4	50	10065
5	51	8501
6	52	7489
7	53	6659
8	54	6009
9	55	5495
10	56	5069
11	57	4706
12	57	4396
13	58	4135
14	59	3904
15	60	3713
16	61	3538
17	61	3381
18	62	3246
19	63	3115
20	64	2998
21	65	2892
22	65	2796
23	66	2709
24	66	2611
25	67	2526
26	67	2439
27	68	2383
28	68	2308
29	69	2248
30	69	2186
31	70	2124
32	70	2065
33	70	2009
34	70	1956
35	71	1906
36	71	1863
37	72	1825
38	72	1790
39	73	1756
40	73	1725
41	74	1695
42	74	1666
43	75	1637
44	75	1608
45	76	1582
46	76	1556
47	77	1531
48	77	1508
49	78	1485
50	78	1463
51	79	1442
52	79	1425
53	80	1407
54	80	1389
55	81	1371
56	81	1353
57	82	1335
58	82	1317
59	82	1299
60	83	1280
61	83	1265
62	83	1247
63	84	1232
64	84	1216
65	85	1205
66	85	1190
67	85	1175
68	86	1160
69	86	1145
70	86	1131
71	86	1117
72	86	1104
73	87	1091
74	87	1078
75	87	1066
76	87	1054
77	88	1042
78	88	1030
79	88	1019
80	89	1009
81	89	998
82	89	986
83	89	976
84	89	966
85	90	957
86	90	948
87	90	939
88	90	931
89	91	923
90	91	914
91	91	906
92	92	898
93	92	890
94	92	883
95	92	874
96	93	866
97	93	859
98	93	851
99	93	843
100	93	836
101	94	829
102	94	822
103	94	815
104	94	808
105	95	801
106	95	795
107	95	788
108	95	782
109	95	776
110	96	770
111	96	764
112	96	758
113	96	753
114	97	747
115	97	743
116	97	737
117	98	732
118	98	727
119	98	724
120	99	719
121	99	718
122	100	714
123	100	711
124	100	706
125	101	703
126	101	698
127	101	693
128	102	689
129	102	685
130	102	680
131	102	676
132	103	671
133	103	667
134	103	662
135	103	659
136	104	655
137	104	651
138	104	647
139	104	643
140	105	639
141	105	635
142	105	631
143	105	627
144	105	623
145	105	620
146	106	616
147	106	612
148	106	609
149	106	605
150	107	602
151	107	599
152	107	596
153	107	592
154	108	589
155	108	586
156	108	582
157	108	579
158	108	576
159	109	573
160	109	569
161	109	566
162	109	563
163	110	560
164	110	557
165	110	554
166	110	552
167	110	549
168	111	546
169	111	543
170	111	540
171	111	538
172	112	536
173	112	533
174	112	530
175	112	528
176	113	526
177	113	523
178	113	521
179	114	520
180	114	517
181	114	515
182	114	513
183	115	512
184	115	510
185	116	508
186	116	506
187	116	504
188	117	502
189	117	500
190	117	498
191	117	495
192	118	493
193	118	491
194	118	489
195	118	487
196	119	485
197	119	483
198	119	481
199	119	479
200	120	477
201	120	475
202	120	473
203	120	471
204	121	469
205	121	467
206	121	465
207	121	464
208	122	462
209	122	460
210	122	459
211	122	457
212	123	455
213	123	453
214	123	451
215	123	449
216	124	447
217	124	445
218	124	444
219	124	442
220	124	440
221	125	438
222	125	437
223	125	435
224	125	433
225	126	432
226	126	430
227	126	428
228	126	427
229	127	425
230	127	425
231	128	424
232	128	423
233	128	421
234	128	419
235	129	418
236	129	416
237	129	415
238	129	413
239	130	412
240	130	410
241	130	409
242	130	407
243	131	406
244	131	405
245	131	404
246	132	402
247	132	401
248	132	399
249	132	398
250	133	396
251	133	395
252	133	394
253	133	392
254	134	391
255	134	390
256	134	389
257	134	387
258	135	386
259	135	385
260	135	383
261	135	382
262	136	381
263	136	379
264	136	378
265	136	377
266	136	376
267	137	375
268	137	373
269	137	372
270	138	371
271	138	370
272	138	368
273	138	367
274	138	366
275	139	365
276	139	363
277	139	362
278	139	361
279	140	360
280	140	359
281	140	358
282	140	356
283	141	355
284	141	354
285	141	353
286	141	352
287	142	351
288	142	350
289	142	348
290	142	347
291	143	346
292	143	345
293	143	344
294	143	344
295	144	343
296	144	342
297	145	341
298	145	341
299	145	340
300	146	339
301	146	338
302	146	337
303	147	336
304	147	335
305	147	334
306	147	333
307	148	332
308	148	331
309	148	330
310	148	329
311	149	328
312	149	327
313	149	326
314	149	326
315	150	325
316	150	324
317	150	323
318	151	322
319	151	321
320	151	320
321	151	319
322	152	318
323	152	317
324	152	316
325	152	315
326	153	314
327	153	314
328	153	313
329	153	312
330	154	311
331	154	310
332	154	309
333	154	308
334	155	307
335	155	307
336	155	306
337	155	305
338	156	304
339	156	303
340	156	302
341	156	301
342	157	301
343	157	300
344	157	299
345	157	298
346	158	297
347	158	296
348	158	295
349	158	295
350	159	294
351	159	293
352	159	292
353	160	292
354	160	291
355	160	290
356	160	289
357	160	288
358	161	287
359	161	287
360	161	286
361	162	285
362	162	284
363	162	284
364	162	283
365	163	282
366	163	281
367	163	281
368	164	280
369	164	279
370	164	279
371	164	278
372	165	277
373	165	276
374	165	275
375	166	275
376	166	274
377	166	274
378	166	273
379	167	272
380	167	271
381	167	271
382	167	270
383	168	269
384	168	268
385	168	268
386	168	267
387	168	266
388	169	265
389	169	264
390	169	264
391	169	263
392	170	262
393	170	261
394	170	261
395	170	260
396	171	259
397	171	259
398	171	258
399	171	257
400	171	256
401	172	256
402	172	255
403	172	254
404	172	254
405	173	253
406	173	252
407	173	251
408	173	251
409	174	250
410	174	249
411	174	249
412	174	248
413	175	247
414	175	247
415	175	246
416	175	245
417	176	245
418	176	245
419	176	244
420	177	243
421	177	242
422	177	242
423	177	241
424	178	240
425	178	240
426	178	239
427	178	238
428	179	238
429	179	237
430	179	237
431	179	236
432	180	235
433	180	235
434	180	234
435	180	233
436	181	233
437	181	232
438	181	232
439	181	231
440	182	230
441	182	230
442	182	229
443	182	229
